[(2019-10-26 06:49:56,239) (main:42) : INFO] "637451243459051522"
[(2019-10-26 06:49:56,239) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:49:56,240) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 06:49:56,240) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:49:56,241) (member:77) : DEBUG] "creating file for 84716401406775296"
[(2019-10-26 06:49:56,246) (member:77) : DEBUG] "creating file for 97502897012490240"
[(2019-10-26 06:49:56,250) (member:77) : DEBUG] "creating file for 102850966839119872"
[(2019-10-26 06:49:56,254) (member:77) : DEBUG] "creating file for 118072366390706176"
[(2019-10-26 06:49:56,260) (member:77) : DEBUG] "creating file for 181125548389433344"
[(2019-10-26 06:49:56,266) (member:77) : DEBUG] "creating file for 232875016927182848"
[(2019-10-26 06:49:56,271) (member:77) : DEBUG] "creating file for 270226978181873685"
[(2019-10-26 06:49:56,276) (member:77) : DEBUG] "creating file for 380098402978889728"
[(2019-10-26 06:49:56,280) (member:77) : DEBUG] "creating file for 427976128242778122"
[(2019-10-26 06:49:56,284) (member:77) : DEBUG] "creating file for 471455894438281219"
[(2019-10-26 06:49:56,289) (member:77) : DEBUG] "creating file for 577302311429210112"
[(2019-10-26 06:49:56,293) (member:77) : DEBUG] "creating file for 577303176458272768"
[(2019-10-26 06:49:56,297) (member:77) : DEBUG] "creating file for 582372258765602826"
[(2019-10-26 06:49:56,301) (member:77) : DEBUG] "creating file for 600108146987499544"
[(2019-10-26 06:49:56,305) (member:77) : DEBUG] "creating file for 637451243459051522"
[(2019-10-26 06:50:12,257) (main:42) : INFO] "637451243459051522"
[(2019-10-26 06:50:12,257) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:50:12,257) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 06:50:12,258) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:50:12,259) (member:77) : DEBUG] "creating file for 427976128242778122"
[(2019-10-26 06:54:01,193) (main:42) : INFO] "637451243459051522"
[(2019-10-26 06:54:01,193) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:54:01,193) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 06:54:01,194) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:54:54,801) (main:42) : INFO] "637451243459051522"
[(2019-10-26 06:54:54,801) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:54:54,802) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
